,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
11,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
15,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
16,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
20,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
21,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
22,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
24,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0
25,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
26,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0
27,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
28,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1
29,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0
30,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0
31,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1
32,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0
33,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0
34,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0
35,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,1
36,0,1,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
37,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0
38,0,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0
39,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
40,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,1,0,0
41,0,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1
42,1,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,1,0
43,0,0,0,0,1,0,1,0,1,1,0,0,0,1,1,0,1,0,0,1
44,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,1
45,1,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,0,1,1
46,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1
47,0,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,0,0,1
48,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,0,1,1,0,1
49,0,0,1,0,1,1,1,1,0,1,0,0,1,0,0,1,0,1,0,0
50,1,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0
51,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,1,1,0,0
52,0,1,1,0,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1
53,1,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,1,1,1
54,0,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,0
55,1,1,0,1,0,0,0,0,0,1,0,1,0,1,1,1,1,1,1,0
56,0,0,0,1,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1,0
57,0,0,1,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,1,0
58,1,0,0,0,1,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0
59,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,1,0,0,1
60,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1,1
61,1,1,1,0,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,0
62,0,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1,0,0,1,1
63,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,1
64,0,1,0,0,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,0
65,0,0,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
66,0,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0
67,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,1,1,0
68,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1
69,1,1,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1
70,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,0,0,1
71,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0,1,1,1,0,1
72,1,1,1,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1,1,1
73,0,1,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,1,1,1
74,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1
75,1,1,1,1,1,1,0,0,1,1,1,0,0,1,0,1,1,1,1,1
76,1,0,0,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,1,1
77,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,0
78,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,1
79,1,1,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
80,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1,0
81,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1
82,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
83,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,1,1,1,0
84,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1
85,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
86,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1
87,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
88,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1
89,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1
90,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
91,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
92,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
93,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1
94,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
95,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
96,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
97,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
98,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
99,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
100,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
101,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
102,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
103,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
104,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
